"slotid","slotdoctorid","slotdate","slotfrom","slotto","slotstatus"
8912,10,"2023-09-16","15:30:00","15:40:00","booked"
8913,10,"2023-09-16","15:40:00","15:50:00","booked"
8914,10,"2023-09-16","15:50:00","16:00:00","booked"
8915,10,"2023-09-16","16:00:00","16:10:00","booked"
8916,10,"2023-09-16","16:10:00","16:20:00","booked"
8917,10,"2023-09-16","16:20:00","16:30:00","booked"
8918,10,"2023-09-16","16:30:00","16:40:00","booked"
8919,10,"2023-09-16","16:40:00","16:50:00","booked"
8920,10,"2023-09-16","16:50:00","17:00:00","booked"
8921,10,"2023-09-16","17:00:00","17:10:00","booked"
8922,10,"2023-09-16","17:10:00","17:20:00","booked"
8924,10,"2023-09-17","14:30:00","14:40:00","booked"
8925,10,"2023-09-17","14:40:00","14:50:00","booked"
8926,10,"2023-09-17","14:50:00","15:00:00","booked"
8927,10,"2023-09-17","15:00:00","15:10:00","booked"
8952,10,"2023-09-23","16:10:00","16:20:00","booked"
8953,10,"2023-09-23","16:20:00","16:30:00","booked"
8954,10,"2023-09-23","16:30:00","16:40:00","booked"
8955,10,"2023-09-23","16:40:00","16:50:00","booked"
8956,10,"2023-09-23","16:50:00","17:00:00","booked"
8957,10,"2023-09-23","17:00:00","17:10:00","booked"
8958,10,"2023-09-23","17:10:00","17:20:00","booked"
8959,10,"2023-09-23","17:20:00","17:30:00","booked"
8960,10,"2023-09-24","14:30:00","14:40:00","booked"
8961,10,"2023-09-24","14:40:00","14:50:00","booked"
8962,10,"2023-09-24","14:50:00","15:00:00","booked"
8963,10,"2023-09-24","15:00:00","15:10:00","booked"
8964,10,"2023-09-24","15:10:00","15:20:00","booked"
8965,10,"2023-09-24","15:20:00","15:30:00","booked"
8966,10,"2023-09-24","15:30:00","15:40:00","booked"
8967,10,"2023-09-24","15:40:00","15:50:00","booked"
8968,10,"2023-09-24","15:50:00","16:00:00","booked"
8969,10,"2023-09-24","16:00:00","16:10:00","booked"
8970,10,"2023-09-24","16:10:00","16:20:00","booked"
8971,10,"2023-09-24","16:20:00","16:30:00","booked"
8972,10,"2023-09-24","16:30:00","16:40:00","booked"
8973,10,"2023-09-24","16:40:00","16:50:00","booked"
8974,10,"2023-09-24","16:50:00","17:00:00","booked"
8975,10,"2023-09-24","17:00:00","17:10:00","booked"
8976,10,"2023-09-24","17:10:00","17:20:00","booked"
8977,10,"2023-09-24","17:20:00","17:30:00","booked"
8978,10,"2023-09-30","14:30:00","14:40:00","booked"
8979,10,"2023-09-30","14:40:00","14:50:00","booked"
8980,10,"2023-09-30","14:50:00","15:00:00","avaliable"
8981,10,"2023-09-30","15:00:00","15:10:00","avaliable"
8982,10,"2023-09-30","15:10:00","15:20:00","avaliable"
8983,10,"2023-09-30","15:20:00","15:30:00","avaliable"
8984,10,"2023-09-30","15:30:00","15:40:00","avaliable"
8985,10,"2023-09-30","15:40:00","15:50:00","avaliable"
8986,10,"2023-09-30","15:50:00","16:00:00","avaliable"
8987,10,"2023-09-30","16:00:00","16:10:00","avaliable"
8988,10,"2023-09-30","16:10:00","16:20:00","avaliable"
8989,10,"2023-09-30","16:20:00","16:30:00","avaliable"
8990,10,"2023-09-30","16:30:00","16:40:00","avaliable"
8991,10,"2023-09-30","16:40:00","16:50:00","avaliable"
8992,10,"2023-09-30","16:50:00","17:00:00","avaliable"
8993,10,"2023-09-30","17:00:00","17:10:00","avaliable"
8994,10,"2023-09-30","17:10:00","17:20:00","avaliable"
8995,10,"2023-09-30","17:20:00","17:30:00","avaliable"
8996,10,"2023-10-01","14:30:00","14:40:00","avaliable"
8997,10,"2023-10-01","14:40:00","14:50:00","avaliable"
8998,10,"2023-10-01","14:50:00","15:00:00","avaliable"
8999,10,"2023-10-01","15:00:00","15:10:00","avaliable"
9000,10,"2023-10-01","15:10:00","15:20:00","avaliable"
9001,10,"2023-10-01","15:20:00","15:30:00","avaliable"
9002,10,"2023-10-01","15:30:00","15:40:00","avaliable"
9003,10,"2023-10-01","15:40:00","15:50:00","avaliable"
9004,10,"2023-10-01","15:50:00","16:00:00","avaliable"
9005,10,"2023-10-01","16:00:00","16:10:00","avaliable"
9006,10,"2023-10-01","16:10:00","16:20:00","avaliable"
9007,10,"2023-10-01","16:20:00","16:30:00","avaliable"
9008,10,"2023-10-01","16:30:00","16:40:00","avaliable"
9009,10,"2023-10-01","16:40:00","16:50:00","avaliable"
9010,10,"2023-10-01","16:50:00","17:00:00","avaliable"
9011,10,"2023-10-01","17:00:00","17:10:00","avaliable"
9012,10,"2023-10-01","17:10:00","17:20:00","avaliable"
9013,10,"2023-10-01","17:20:00","17:30:00","avaliable"
7768,4,"2023-09-01","14:00:00","14:15:00","booked"
7769,4,"2023-09-01","14:15:00","14:30:00","booked"
7770,4,"2023-09-01","14:30:00","14:45:00","booked"
7771,4,"2023-09-01","14:45:00","15:00:00","booked"
7772,4,"2023-09-01","15:00:00","15:15:00","booked"
7773,4,"2023-09-01","15:15:00","15:30:00","booked"
7774,4,"2023-09-01","15:30:00","15:45:00","booked"
7775,4,"2023-09-01","15:45:00","16:00:00","booked"
7776,4,"2023-09-01","16:00:00","16:15:00","booked"
7778,4,"2023-09-01","16:30:00","16:45:00","booked"
7779,4,"2023-09-01","16:45:00","17:00:00","booked"
7135,1,"2023-09-15","09:00:00","09:15:00","booked"
7258,1,"2023-09-30","15:30:00","16:00:00","booked"
7265,2,"2023-09-01","11:00:00","11:15:00","booked"
7345,2,"2023-09-12","15:00:00","15:30:00","booked"
7845,4,"2023-09-11","15:15:00","15:30:00","booked"
7956,4,"2023-09-25","16:00:00","16:15:00","booked"
7981,4,"2023-09-28","11:30:00","12:00:00","booked"
8153,5,"2023-09-14","09:10:00","09:20:00","booked"
8246,5,"2023-09-22","15:20:00","15:40:00","booked"
8427,6,"2023-09-25","11:30:00","12:00:00","booked"
8456,7,"2023-09-03","18:30:00","18:45:00","booked"
8923,10,"2023-09-16","17:20:00","17:30:00","booked"
7777,4,"2023-09-01","16:15:00","16:30:00","booked"
8888,10,"2023-09-10","14:30:00","14:40:00","booked"
7474,2,"2023-09-28","16:30:00","17:00:00","booked"
7878,4,"2023-09-15","14:30:00","14:45:00","booked"
7890,4,"2023-09-16","11:00:00","11:30:00","booked"
7899,4,"2023-09-18","15:15:00","15:30:00","booked"
8282,5,"2023-09-26","15:20:00","15:40:00","booked"
8642,8,"2023-09-19","09:00:00","09:35:00","booked"
8760,9,"2023-09-17","16:50:00","17:10:00","booked"
8765,9,"2023-09-20","15:30:00","15:50:00","booked"
8787,9,"2023-09-23","16:50:00","17:10:00","booked"
7363,2,"2023-09-14","15:00:00","15:30:00","booked
"
7364,2,"2023-09-14","15:30:00","16:00:00","booked"
7365,2,"2023-09-14","16:00:00","16:30:00","booked"
7070,1,"2023-09-06","10:45:00","11:00:00","booked"
7027,1,"2023-09-01","09:00:00","09:15:00","available"
7028,1,"2023-09-01","09:15:00","09:30:00","available"
7029,1,"2023-09-01","09:30:00","09:45:00","available"
7030,1,"2023-09-01","09:45:00","10:00:00","available"
7031,1,"2023-09-01","10:00:00","10:15:00","available"
7032,1,"2023-09-01","10:15:00","10:30:00","available"
7033,1,"2023-09-01","10:30:00","10:45:00","available"
7034,1,"2023-09-01","10:45:00","11:00:00","available"
7035,1,"2023-09-01","11:00:00","11:15:00","available"
7036,1,"2023-09-01","11:15:00","11:30:00","available"
7037,1,"2023-09-01","11:30:00","11:45:00","available"
7038,1,"2023-09-01","11:45:00","12:00:00","available"
7039,1,"2023-09-02","14:00:00","14:30:00","available"
7040,1,"2023-09-02","14:30:00","15:00:00","available"
7041,1,"2023-09-02","15:00:00","15:30:00","available"
7042,1,"2023-09-02","15:30:00","16:00:00","available"
7043,1,"2023-09-02","16:00:00","16:30:00","available"
7044,1,"2023-09-02","16:30:00","17:00:00","available"
7045,1,"2023-09-04","09:00:00","09:15:00","available"
7046,1,"2023-09-04","09:15:00","09:30:00","available"
7047,1,"2023-09-04","09:30:00","09:45:00","available"
7048,1,"2023-09-04","09:45:00","10:00:00","available"
7049,1,"2023-09-04","10:00:00","10:15:00","available"
7050,1,"2023-09-04","10:15:00","10:30:00","available"
7051,1,"2023-09-04","10:30:00","10:45:00","available"
7052,1,"2023-09-04","10:45:00","11:00:00","available"
7053,1,"2023-09-04","11:00:00","11:15:00","available"
7054,1,"2023-09-04","11:15:00","11:30:00","available"
7055,1,"2023-09-04","11:30:00","11:45:00","available"
7056,1,"2023-09-04","11:45:00","12:00:00","available"
7057,1,"2023-09-05","14:00:00","14:30:00","available"
7058,1,"2023-09-05","14:30:00","15:00:00","available"
7059,1,"2023-09-05","15:00:00","15:30:00","available"
7060,1,"2023-09-05","15:30:00","16:00:00","available"
7061,1,"2023-09-05","16:00:00","16:30:00","available"
7062,1,"2023-09-05","16:30:00","17:00:00","available"
7063,1,"2023-09-06","09:00:00","09:15:00","available"
7064,1,"2023-09-06","09:15:00","09:30:00","available"
7065,1,"2023-09-06","09:30:00","09:45:00","available"
7066,1,"2023-09-06","09:45:00","10:00:00","available"
7067,1,"2023-09-06","10:00:00","10:15:00","available"
7068,1,"2023-09-06","10:15:00","10:30:00","available"
7069,1,"2023-09-06","10:30:00","10:45:00","available"
7071,1,"2023-09-06","11:00:00","11:15:00","available"
7072,1,"2023-09-06","11:15:00","11:30:00","available"
7073,1,"2023-09-06","11:30:00","11:45:00","available"
7074,1,"2023-09-06","11:45:00","12:00:00","available"
7075,1,"2023-09-07","14:00:00","14:30:00","available"
7076,1,"2023-09-07","14:30:00","15:00:00","available"
7077,1,"2023-09-07","15:00:00","15:30:00","available"
7078,1,"2023-09-07","15:30:00","16:00:00","available"
7079,1,"2023-09-07","16:00:00","16:30:00","available"
7080,1,"2023-09-07","16:30:00","17:00:00","available"
7081,1,"2023-09-08","09:00:00","09:15:00","available"
7082,1,"2023-09-08","09:15:00","09:30:00","available"
7083,1,"2023-09-08","09:30:00","09:45:00","available"
7084,1,"2023-09-08","09:45:00","10:00:00","available"
7085,1,"2023-09-08","10:00:00","10:15:00","available"
7086,1,"2023-09-08","10:15:00","10:30:00","available"
7087,1,"2023-09-08","10:30:00","10:45:00","available"
7088,1,"2023-09-08","10:45:00","11:00:00","available"
7089,1,"2023-09-08","11:00:00","11:15:00","available"
7090,1,"2023-09-08","11:15:00","11:30:00","available"
7091,1,"2023-09-08","11:30:00","11:45:00","available"
7092,1,"2023-09-08","11:45:00","12:00:00","available"
7093,1,"2023-09-09","14:00:00","14:30:00","available"
7094,1,"2023-09-09","14:30:00","15:00:00","available"
7095,1,"2023-09-09","15:00:00","15:30:00","available"
7096,1,"2023-09-09","15:30:00","16:00:00","available"
7097,1,"2023-09-09","16:00:00","16:30:00","available"
7098,1,"2023-09-09","16:30:00","17:00:00","available"
7099,1,"2023-09-11","09:00:00","09:15:00","available"
7100,1,"2023-09-11","09:15:00","09:30:00","available"
7101,1,"2023-09-11","09:30:00","09:45:00","available"
7102,1,"2023-09-11","09:45:00","10:00:00","available"
7103,1,"2023-09-11","10:00:00","10:15:00","available"
7104,1,"2023-09-11","10:15:00","10:30:00","available"
7105,1,"2023-09-11","10:30:00","10:45:00","available"
7106,1,"2023-09-11","10:45:00","11:00:00","available"
7107,1,"2023-09-11","11:00:00","11:15:00","available"
7108,1,"2023-09-11","11:15:00","11:30:00","available"
7109,1,"2023-09-11","11:30:00","11:45:00","available"
7110,1,"2023-09-11","11:45:00","12:00:00","available"
7111,1,"2023-09-12","14:00:00","14:30:00","available"
7112,1,"2023-09-12","14:30:00","15:00:00","available"
7113,1,"2023-09-12","15:00:00","15:30:00","available"
7114,1,"2023-09-12","15:30:00","16:00:00","available"
7115,1,"2023-09-12","16:00:00","16:30:00","available"
7116,1,"2023-09-12","16:30:00","17:00:00","available"
7117,1,"2023-09-13","09:00:00","09:15:00","available"
7118,1,"2023-09-13","09:15:00","09:30:00","available"
7119,1,"2023-09-13","09:30:00","09:45:00","available"
7120,1,"2023-09-13","09:45:00","10:00:00","available"
7121,1,"2023-09-13","10:00:00","10:15:00","available"
7122,1,"2023-09-13","10:15:00","10:30:00","available"
7123,1,"2023-09-13","10:30:00","10:45:00","available"
7124,1,"2023-09-13","10:45:00","11:00:00","available"
7125,1,"2023-09-13","11:00:00","11:15:00","available"
7126,1,"2023-09-13","11:15:00","11:30:00","available"
7127,1,"2023-09-13","11:30:00","11:45:00","available"
7128,1,"2023-09-13","11:45:00","12:00:00","available"
7129,1,"2023-09-14","14:00:00","14:30:00","available"
7130,1,"2023-09-14","14:30:00","15:00:00","available"
7131,1,"2023-09-14","15:00:00","15:30:00","available"
7132,1,"2023-09-14","15:30:00","16:00:00","available"
7133,1,"2023-09-14","16:00:00","16:30:00","available"
7134,1,"2023-09-14","16:30:00","17:00:00","available"
7136,1,"2023-09-15","09:15:00","09:30:00","available"
7137,1,"2023-09-15","09:30:00","09:45:00","available"
7138,1,"2023-09-15","09:45:00","10:00:00","available"
7139,1,"2023-09-15","10:00:00","10:15:00","available"
7140,1,"2023-09-15","10:15:00","10:30:00","available"
7141,1,"2023-09-15","10:30:00","10:45:00","available"
7142,1,"2023-09-15","10:45:00","11:00:00","available"
7143,1,"2023-09-15","11:00:00","11:15:00","available"
7144,1,"2023-09-15","11:15:00","11:30:00","available"
7145,1,"2023-09-15","11:30:00","11:45:00","available"
7146,1,"2023-09-15","11:45:00","12:00:00","available"
7147,1,"2023-09-16","14:00:00","14:30:00","available"
7148,1,"2023-09-16","14:30:00","15:00:00","available"
7149,1,"2023-09-16","15:00:00","15:30:00","available"
7150,1,"2023-09-16","15:30:00","16:00:00","available"
7151,1,"2023-09-16","16:00:00","16:30:00","available"
7152,1,"2023-09-16","16:30:00","17:00:00","available"
7153,1,"2023-09-18","09:00:00","09:15:00","available"
7154,1,"2023-09-18","09:15:00","09:30:00","available"
7155,1,"2023-09-18","09:30:00","09:45:00","available"
7156,1,"2023-09-18","09:45:00","10:00:00","available"
7157,1,"2023-09-18","10:00:00","10:15:00","available"
7158,1,"2023-09-18","10:15:00","10:30:00","available"
7159,1,"2023-09-18","10:30:00","10:45:00","available"
7160,1,"2023-09-18","10:45:00","11:00:00","available"
7161,1,"2023-09-18","11:00:00","11:15:00","available"
7162,1,"2023-09-18","11:15:00","11:30:00","available"
7163,1,"2023-09-18","11:30:00","11:45:00","available"
7164,1,"2023-09-18","11:45:00","12:00:00","available"
7165,1,"2023-09-19","14:00:00","14:30:00","available"
7166,1,"2023-09-19","14:30:00","15:00:00","available"
7167,1,"2023-09-19","15:00:00","15:30:00","available"
7168,1,"2023-09-19","15:30:00","16:00:00","available"
7169,1,"2023-09-19","16:00:00","16:30:00","available"
7170,1,"2023-09-19","16:30:00","17:00:00","available"
7171,1,"2023-09-20","09:00:00","09:15:00","available"
7172,1,"2023-09-20","09:15:00","09:30:00","available"
7173,1,"2023-09-20","09:30:00","09:45:00","available"
7174,1,"2023-09-20","09:45:00","10:00:00","available"
7175,1,"2023-09-20","10:00:00","10:15:00","available"
7176,1,"2023-09-20","10:15:00","10:30:00","available"
7177,1,"2023-09-20","10:30:00","10:45:00","available"
7178,1,"2023-09-20","10:45:00","11:00:00","available"
7179,1,"2023-09-20","11:00:00","11:15:00","available"
7180,1,"2023-09-20","11:15:00","11:30:00","available"
7181,1,"2023-09-20","11:30:00","11:45:00","available"
7182,1,"2023-09-20","11:45:00","12:00:00","available"
7183,1,"2023-09-21","14:00:00","14:30:00","available"
7184,1,"2023-09-21","14:30:00","15:00:00","available"
7185,1,"2023-09-21","15:00:00","15:30:00","available"
7186,1,"2023-09-21","15:30:00","16:00:00","available"
7187,1,"2023-09-21","16:00:00","16:30:00","available"
7188,1,"2023-09-21","16:30:00","17:00:00","available"
7189,1,"2023-09-22","09:00:00","09:15:00","available"
7190,1,"2023-09-22","09:15:00","09:30:00","available"
7191,1,"2023-09-22","09:30:00","09:45:00","available"
7192,1,"2023-09-22","09:45:00","10:00:00","available"
7193,1,"2023-09-22","10:00:00","10:15:00","available"
7194,1,"2023-09-22","10:15:00","10:30:00","available"
7195,1,"2023-09-22","10:30:00","10:45:00","available"
7196,1,"2023-09-22","10:45:00","11:00:00","available"
7197,1,"2023-09-22","11:00:00","11:15:00","available"
7198,1,"2023-09-22","11:15:00","11:30:00","available"
7199,1,"2023-09-22","11:30:00","11:45:00","available"
7200,1,"2023-09-22","11:45:00","12:00:00","available"
7201,1,"2023-09-23","14:00:00","14:30:00","available"
7202,1,"2023-09-23","14:30:00","15:00:00","available"
7203,1,"2023-09-23","15:00:00","15:30:00","available"
7204,1,"2023-09-23","15:30:00","16:00:00","available"
7205,1,"2023-09-23","16:00:00","16:30:00","available"
7206,1,"2023-09-23","16:30:00","17:00:00","available"
7207,1,"2023-09-25","09:00:00","09:15:00","available"
7208,1,"2023-09-25","09:15:00","09:30:00","available"
7209,1,"2023-09-25","09:30:00","09:45:00","available"
7210,1,"2023-09-25","09:45:00","10:00:00","available"
7211,1,"2023-09-25","10:00:00","10:15:00","available"
7212,1,"2023-09-25","10:15:00","10:30:00","available"
7213,1,"2023-09-25","10:30:00","10:45:00","available"
7214,1,"2023-09-25","10:45:00","11:00:00","available"
7215,1,"2023-09-25","11:00:00","11:15:00","available"
7216,1,"2023-09-25","11:15:00","11:30:00","available"
7217,1,"2023-09-25","11:30:00","11:45:00","available"
7218,1,"2023-09-25","11:45:00","12:00:00","available"
7219,1,"2023-09-26","14:00:00","14:30:00","available"
7220,1,"2023-09-26","14:30:00","15:00:00","available"
7221,1,"2023-09-26","15:00:00","15:30:00","available"
7222,1,"2023-09-26","15:30:00","16:00:00","available"
7223,1,"2023-09-26","16:00:00","16:30:00","available"
7224,1,"2023-09-26","16:30:00","17:00:00","available"
7225,1,"2023-09-27","09:00:00","09:15:00","available"
7226,1,"2023-09-27","09:15:00","09:30:00","available"
7227,1,"2023-09-27","09:30:00","09:45:00","available"
7228,1,"2023-09-27","09:45:00","10:00:00","available"
7229,1,"2023-09-27","10:00:00","10:15:00","available"
7230,1,"2023-09-27","10:15:00","10:30:00","available"
7231,1,"2023-09-27","10:30:00","10:45:00","available"
7232,1,"2023-09-27","10:45:00","11:00:00","available"
7233,1,"2023-09-27","11:00:00","11:15:00","available"
7234,1,"2023-09-27","11:15:00","11:30:00","available"
7235,1,"2023-09-27","11:30:00","11:45:00","available"
7236,1,"2023-09-27","11:45:00","12:00:00","available"
7237,1,"2023-09-28","14:00:00","14:30:00","available"
7238,1,"2023-09-28","14:30:00","15:00:00","available"
7239,1,"2023-09-28","15:00:00","15:30:00","available"
7240,1,"2023-09-28","15:30:00","16:00:00","available"
7241,1,"2023-09-28","16:00:00","16:30:00","available"
7242,1,"2023-09-28","16:30:00","17:00:00","available"
7243,1,"2023-09-29","09:00:00","09:15:00","available"
7244,1,"2023-09-29","09:15:00","09:30:00","available"
7245,1,"2023-09-29","09:30:00","09:45:00","available"
7246,1,"2023-09-29","09:45:00","10:00:00","available"
7247,1,"2023-09-29","10:00:00","10:15:00","available"
7248,1,"2023-09-29","10:15:00","10:30:00","available"
7249,1,"2023-09-29","10:30:00","10:45:00","available"
7250,1,"2023-09-29","10:45:00","11:00:00","available"
7251,1,"2023-09-29","11:00:00","11:15:00","available"
7252,1,"2023-09-29","11:15:00","11:30:00","available"
7253,1,"2023-09-29","11:30:00","11:45:00","available"
7254,1,"2023-09-29","11:45:00","12:00:00","available"
7255,1,"2023-09-30","14:00:00","14:30:00","available"
7256,1,"2023-09-30","14:30:00","15:00:00","available"
7257,1,"2023-09-30","15:00:00","15:30:00","available"
7259,1,"2023-09-30","16:00:00","16:30:00","available"
7260,1,"2023-09-30","16:30:00","17:00:00","available"
7273,2,"2023-09-02","15:00:00","15:30:00","available"
7274,2,"2023-09-02","15:30:00","16:00:00","available"
7275,2,"2023-09-02","16:00:00","16:30:00","available"
7276,2,"2023-09-02","16:30:00","17:00:00","available"
7277,2,"2023-09-02","17:00:00","17:30:00","available"
7278,2,"2023-09-02","17:30:00","18:00:00","available"
7279,2,"2023-09-04","10:00:00","10:15:00","available"
7280,2,"2023-09-04","10:15:00","10:30:00","available"
7281,2,"2023-09-04","10:30:00","10:45:00","available"
7282,2,"2023-09-04","10:45:00","11:00:00","available"
7283,2,"2023-09-04","11:00:00","11:15:00","available"
7284,2,"2023-09-04","11:15:00","11:30:00","available"
7285,2,"2023-09-04","11:30:00","11:45:00","available"
7286,2,"2023-09-04","11:45:00","12:00:00","available"
7287,2,"2023-09-04","12:00:00","12:15:00","available"
7288,2,"2023-09-04","12:15:00","12:30:00","available"
7289,2,"2023-09-04","12:30:00","12:45:00","available"
7290,2,"2023-09-04","12:45:00","13:00:00","available"
7291,2,"2023-09-05","15:00:00","15:30:00","available"
7292,2,"2023-09-05","15:30:00","16:00:00","available"
7293,2,"2023-09-05","16:00:00","16:30:00","available"
7294,2,"2023-09-05","16:30:00","17:00:00","available"
7295,2,"2023-09-05","17:00:00","17:30:00","available"
7296,2,"2023-09-05","17:30:00","18:00:00","available"
7297,2,"2023-09-06","10:00:00","10:15:00","available"
7298,2,"2023-09-06","10:15:00","10:30:00","available"
7299,2,"2023-09-06","10:30:00","10:45:00","available"
7300,2,"2023-09-06","10:45:00","11:00:00","available"
7301,2,"2023-09-06","11:00:00","11:15:00","available"
7302,2,"2023-09-06","11:15:00","11:30:00","available"
7303,2,"2023-09-06","11:30:00","11:45:00","available"
7304,2,"2023-09-06","11:45:00","12:00:00","available"
7305,2,"2023-09-06","12:00:00","12:15:00","available"
7306,2,"2023-09-06","12:15:00","12:30:00","available"
7307,2,"2023-09-06","12:30:00","12:45:00","available"
7308,2,"2023-09-06","12:45:00","13:00:00","available"
7309,2,"2023-09-07","15:00:00","15:30:00","available"
7310,2,"2023-09-07","15:30:00","16:00:00","available"
7311,2,"2023-09-07","16:00:00","16:30:00","available"
7312,2,"2023-09-07","16:30:00","17:00:00","available"
7313,2,"2023-09-07","17:00:00","17:30:00","available"
7314,2,"2023-09-07","17:30:00","18:00:00","available"
7315,2,"2023-09-08","10:00:00","10:15:00","available"
7316,2,"2023-09-08","10:15:00","10:30:00","available"
7317,2,"2023-09-08","10:30:00","10:45:00","available"
7318,2,"2023-09-08","10:45:00","11:00:00","available"
7319,2,"2023-09-08","11:00:00","11:15:00","available"
7320,2,"2023-09-08","11:15:00","11:30:00","available"
7321,2,"2023-09-08","11:30:00","11:45:00","available"
7322,2,"2023-09-08","11:45:00","12:00:00","available"
7323,2,"2023-09-08","12:00:00","12:15:00","available"
7324,2,"2023-09-08","12:15:00","12:30:00","available"
7325,2,"2023-09-08","12:30:00","12:45:00","available"
